_id,orden,localizacion_codigo_postal,titulo,seo_url,created,contenido,localizacion_zoom,resumen,archivo,localizacion_pais,longitude,modified,fecha_finalizacion,id,localizacion_municipio,localizacion_direccion,localizacion_latitud_utm,fecha_publicacion,latitude,localizacion_longitud_utm,extra_url
1,1,0,Catedral,../catedral-de-santiago,2010-04-15T16:17:00,"<h3>Visitar la Catedral</h3> <p>Abierta: Todos los d&iacute;as del a&ntilde;o, de 7 a 21 horas.<br />Entrada: Gratuita, excepto zonas del museo <br /><a href=""http://www.catedraldesantiago.com"">www.catedraldesantiago.com</a><br /><a href=""http://www.catedraldesantiago.es"">www.catedraldesantiago.es</a></p> <p>Sacrist&iacute;a de la Catedral de Santiago<br /> Tel: (+34) 981 583 548</p> <p><strong>Oficina de Acogida de Peregrinos </strong><br />R&uacute;a do Vilar, 1. 15705 Santiago de Compostela <br />Tel: (+ 34) 981 568 846. <br />Horario: Abril-oct: Todos los d&iacute;as, 9-21 h. Nov-marzo: Lu-Vi: 10- 20h; domingos y festivos: 10-14 h, 16-20 h.<br /><a href=""http://www.peregrinossantiago.com"">www.peregrinossantiago.com</a><br /><a href=""mailto:info@peregrinossantiago.com"">info@peregrinossantiago.com</a></p> <p><strong>Visitar las cubiertas de la Catedral</strong><br />Acceso: Pazo de Xelm&iacute;rez<br />Horarios y precio: Consultar. <br />Tel: (+34) 981 552 985 Fax: (+34) 981 554 403<br /><a href=""mailto:cubiertascatedral@archicompostela.org"">cubiertascatedral@archicompostela.org</a></p> <p><strong>Visitar el Museo Catedralicio</strong><br />Abierto: Todos los d&iacute;as del a&ntilde;o, excepto 1 y 6 de enero, 25 de julio, 15 de agosto y 25 de diciembre. Tardes cerrado: Martes de Carnaval, 19 de marzo, Jueves y Viernes Santo, 1 de noviembre; 8, 24 y 31 de diciembre.<br />Accesos: Plaza del Obradoiro (claustro y cripta) e interior de la Catedral (Capilla de las Reliquias, Pante&oacute;n Real y Tesoro).<br />Horarios y precio: Consultar. <br /><a href=""http://www.catedraldesantiago.es/webcatedral.html "">http://www.catedraldesantiago.es/webcatedral.html </a></p> <p><strong>Visitar las excavaciones arqueol&oacute;gicas</strong><br />Posibilidad &uacute;nica de bajar al subsuelo del templo.<br />Horarios y precio: Consultar. <br />Reserva imprescindible. Tel: (+34) 981 552 985 <br /><a href=""mailto:excavaciones@catedraldesantiago.es"">excavaciones@catedraldesantiago.es</a></p> <p><strong>Obtener el Jubileo</strong><br />De acuerdo con la gracia del Jubileo otorgada a la Catedral en 1122 por el Papa Calixto II, los fieles que visiten el templo durante el A&ntilde;o Santo pueden obtener la absoluci&oacute;n plenaria. Son a&ntilde;os santos compostelanos aquellos en que el d&iacute;a 25 de julio &ndash;D&iacute;a de Santiago- cae en domingo. Esto ocurre cada 5, 6, 5 y 11 a&ntilde;os. El pr&oacute;ximo, tras 2010, ser&aacute; 2021.&nbsp; <br /><br />Abrazar al Santo y acceso a la Cripta: Todos los d&iacute;as, 9.30&ndash;13.30 h, 16&ndash;19.30 h.<br /><br /><strong>Ver el Botafumeiro</strong><br />El Botafumeiro sigue un calendario fijo de celebraciones lit&uacute;rgicas. Fuera de estas fechas, debe ser solicitado al Can&oacute;nigo Delegado de Peregrinaciones y conlleva hacer una ofrenda a la Catedral. <br />Fechas fijas: 6 de enero: Epifan&iacute;a. Domingo de Resurrecci&oacute;n. Ascensi&oacute;n del Se&ntilde;or. Pentecost&eacute;s (50 d&iacute;as despu&eacute;s de Pascua). 23 de mayo: Aniversario de la Batalla de Clavijo. 25 de julio: Santiago Ap&oacute;stol. 15 de agosto: Asunci&oacute;n. 1 de noviembre: Todos los Santos. Festividad de Cristo Rey. 8 de diciembre: Inmaculada Concepci&oacute;n. 25 de diciembre: Navidad. 30 de diciembre: Traslaci&oacute;n del Santo Ap&oacute;stol</p> <p>M&aacute;s informaci&oacute;n en <a href=""http://www.santiagoturismo.com"">www.santiagoturismo.com</a><br /><br /></p> <h3>Ir  a misa</h3> <p><strong>Horarios de culto:</strong><br /><br /><strong>Altar Mayor</strong><br /><br /><strong>Domingos y festivos </strong><br />9.30 h:&nbsp; Rezo de Laudes<br />10.00 h: Santa Misa Capitular<br />12.00 h: Santa Misa del Peregrino<br />13.15 h: Santa Misa<br />18.00 h: Santa Misa<br />19.30 h: Santa Misa</p> <p><strong>S&aacute;bados y v&iacute;speras de festivos</strong><br />9.30 h:&nbsp; Santa Misa Capitular con el rezo de Laudes<br />12.00 h: Santa Misa<br />18.00 h: Santa Misa en lengua gallega<br />19.30 h: Santa Misa</p> <p><strong>Laborables</strong><br />9.30 h: Santa Misa Capitular con el rezo de Laudes<br />12.00 h: Santa Misa<br />19.30 h: Santa Misa<br /><br /><strong>Capilla del Sant&iacute;simo (o Comuni&oacute;n)</strong><br />Misas: Todos los d&iacute;as, 7,30, 8, 9 y 11 h.<br />Exposici&oacute;n del Sant&iacute;simo: 11.30 h.<br />Adoraci&oacute;n del Sant&iacute;simo: 11.30 &ndash; 19 h.<br />Rosario: Todos los d&iacute;as, 18.45 h.<br />Bendici&oacute;n con el Sant&iacute;simo: 19 h.<br /><br /><strong>Parroquia de la Corticela</strong><br />Misa: Todos los d&iacute;as, 11.15 h.<br /><br /><strong>Encuentro de Oraci&oacute;n del Peregrino</strong><br />Capilla del Pilar, de mayo a octubre. Lunes-viernes, 20&ndash; 21 h. S&aacute;bados, 20.30 &ndash; 21.30 h.</p> <p>La Catedral de Santiago, concebida como una peque&ntilde;a ciudad de piedra en torno a unas reliquias y dotada de vida propia, evolucion&oacute; con vitalidad a lo largo de los a&ntilde;os, mostr&aacute;ndose hoy como un conjunto heterog&eacute;neo de estilos y tendencias de diferente signo y cronolog&iacute;a que se fueron superponiendo sucesivamente.</p> <div id=""banner-catedral"" onclick=""document.location.href='http://www.santiagoturismo.com/catedral-de-santiago'""> <div class=""banner-catedral-titulo""><a title=""La Catedral"" href=""http://www.santiagoturismo.com/catedral-de-santiago"">La Catedral</a></div> <div class=""banner-catedral-contenido""> <p>La Catedral de Santiago de Compostela es la obra m&aacute;s sobresaliente del arte rom&aacute;nico en Espa&ntilde;a. Es, adem&aacute;s, la meta final de todos los <a title=""Caminos de Santiago"" href=""http://www.santiagoturismo.com/camino-de-santiago"">Caminos de Santiago</a>, que durante siglos han llevado a los peregrinos de la Cristiandad hacia la tumba de un ap&oacute;stol. <a title=""A Catedral"" href=""http://www.santiagoturismo.com/catedral-de-santiago""><em>&raquo; Seguir leyendo</em></a></p> </div> </div> <p><em><br /></em></p>",0, ,SantiagoObradoiroreducido.jpg, ,-8.54522800,2020-11-16T08:22:00,0,130, ,Praza do Obradoiro,4762574.69585149,2010-03-04T12:10:00,42.88055600,4762574.69585149,http://www.santiagoturismo.com/monumentos/../catedral-de-santiago
2,2,15704,Mercado de Abastos,mercado-de-abastos,2010-03-04T12:42:00,"<p>El actual Mercado de Abastos de Santiago fue construido en el a&ntilde;o 1941, pero para hablar de la historia del Mercado tenemos que hablar de su predecesor, el Mercado de la Ciudad. Es importante porque era la primera vez que se les daba techo a los distintos y dispersos mercados existentes en la Compostela de aquel entonces. <br /><br />En el 1937 ser&iacute;a derrumbado para la edificaci&oacute;n de la actual Plaza de Abastos.<br /><br />El Mercado lleva funcionado en estos &uacute;ltimos tres siglos, llegando a convertirse en un centro lider&nbsp;en la&nbsp;comercializaci&oacute;n de productos frescos en Santiago.</p>",17,"<p>El actual Mercado de Abastos de Santiago fue construido en el a&ntilde;o 1941, pero para hablar de la historia del Mercado tenemos que hablar de su predecesor, el Mercado de la Ciudad. Es importante porque era la primera vez que se les daba techo a los distintos y dispersos mercados existentes en la Compostela de aquel entonces.&nbsp;</p>",070319SantiagoMercadoplumaycoloremail.jpg,España,-8.54134540,2020-05-25T12:33:00,0,155,Santiago de Compostela,Travesía de Altamira,4762448.00314144,2010-03-04T12:10:00,42.87960410,4762448.00314144,http://www.santiagoturismo.com/monumentos/mercado-de-abastos
3,3,15705,Hostal dos Reis Católicos,hostal-dos-reis-catolicos,2010-04-15T16:17:00,"<p>S. XVI.<br /><br />El actual edificio fue mandado construir en 1501 por los Reyes Cat&oacute;licos para atender a los enfermos y peregrinos del divino Xacobe, seg&uacute;n se puede leer en la inscripci&oacute;n latina que recorre el friso superior de la portada. Su construcci&oacute;n, no obstante, se decidi&oacute; ya en 1492 coincidiendo con el descubrimiento de Am&eacute;rica. <br /><br />El proyecto de las obras se debe al arquitecto real Enrique Egas. Delante de la fachada podemos ver una fuerte cadena del siglo XVI sostenida por pilares esmeradamente tallados que delimita la propiedad del hospital y que tiene su origen en las disputas de propiedad entre el Ayuntamiento y las autoridades del Hospital. Cuenta con una hermosa portada plateresca obra de los maestros franceses Mart&iacute;n de Blas y Guill&eacute;n de Col&aacute;s. En las pilastras de esta portada podemos ver de abajo arriba, las figuras de Ad&aacute;n, Santa Catalina y San Juan Bautista en la izquierda y las de Eva, Santa Luc&iacute;a y Mar&iacute;a Magdalena en la derecha. En el friso de la puerta, estructurada a modo de arco triunfal romano aparecen alineadas las figuras de los doce ap&oacute;stoles. En las pechinas sobre el arco podemos ver los medallones que recogen los bustos de los reyes Isabel y Fernando. Sobre el friso, en el cuerpo superior se abre la ventana del Aposento Real, reservado para hospedar a los monarcas cuando acudieran a Compostela y flanqueada por las im&aacute;genes de Cristo, la Virgen, Santiago, San Juan Evangelista, San Pedro y San Pablo. Dos grandes escudos, con las armas de Castilla flanquean as&iacute; mismo, la portada. Recorriendo todo el frente del edificio vemos los balcones dise&ntilde;ados por fray Tom&aacute;s Alonso, apoyados en m&eacute;nsulas muy trabajadas que representan figuras fantasiosas. La cornisa se decora con una minuciosa cadena en la que sobresalen grotescas y obscenas g&aacute;rgolas. <br /><br />El espacio interior est&aacute; estructurado en una planta rectangular con cuatro patios. El m&aacute;s art&iacute;stico de estos patios es el primero que encontramos entrando a la izquierda, en el que destaca sobre todo, la puerta que conduce a la antigua sala de San Luis. El interior del Hostal alberga una hermosa capilla ojival, declarada Monumento Nacional en 1912. La parte m&aacute;s interesante de esta capilla de planta de cruz latina, situada entre los cuatro patios, es el crucero al que se accede a trav&eacute;s de un enrejado de hierro de hermosa factura, obra del cerrajero franc&eacute;s Guill&eacute;n. La b&oacute;veda del crucero, confeccionada en piedra litogr&aacute;fica de Coimbra, es de una bell&iacute;sima filigrana.</p>",19,"<p>S. XVI. El actual edificio fue mandado construir en 1501 por los Reyes Cat&oacute;licos para atender a los enfermos y peregrinos del divino Xacobe, seg&uacute;n se puede leer en la inscripci&oacute;n latina que recorre el friso superior de la portada. Su construcci&oacute;n, no obstante, se decidi&oacute; ya en 1492 coincidiendo con el descubrimiento de Am&eacute;rica.&nbsp;</p>",070105SantiagoHostalReyesCatlicosplumayacuarelaemail.jpg,España,-8.54586663,2020-11-26T14:02:00,0,111,Santiago de Compostela,Costa do Cristo ,4762637.86370517,2010-03-04T12:10:00,42.88109360,4762637.86370517,http://www.santiagoturismo.com/monumentos/hostal-dos-reis-catolicos
4,4,15705,Casa do Deán,casa-do-dean,2010-03-04T12:42:00,"<p>Mediados s. XVIII. <br /><br />Fue construida entre 1747 y 1753 por Clemente Fern&aacute;ndez Sarela. Domina el conjunto la decoraci&oacute;n de la fachada alrededor de la puerta principal, dise&ntilde;ada a base de placas, volutas y cilindros, atributos jacobeos y pin&aacute;culos, todos de considerable robustez. Destacan ya en el interior un amplio vest&iacute;bulo y una elegante escalera. La profusa decoraci&oacute;n funde la puerta y el balc&oacute;n situado encima que parece proyectarse sobre la calle. Era propiedad de Do&ntilde;a Xoana de Ulloa, perteneciente a uno de los m&aacute;s nobles linajes de Galicia, y en ella se hospedaban los obispos forasteros que visitaban Compostela. M&aacute;s tarde fue destinada al uso de los deanes de la Catedral apost&oacute;lica.<br /><br /></p>",21, ,061211SantiagoCasadelDenplumayacuarelaemail.jpg,España,-8.54419504,2019-04-05T14:44:00,0,110,Santiago de Compostela,Rúa do Vilar 1,4762482.02283859,2010-03-04T12:07:00,42.87977195,4762482.02283859,http://www.santiagoturismo.com/monumentos/casa-do-dean
5,5,15704,Casa do Cabido,casa-do-cabido-2,2010-03-04T12:42:00,"<p>Mediados s. XVIII. Barroco. <br /><br />Esta fachada ornamental de poco m&aacute;s de tres metros de fondo y levantada frente a la Puerta de Plater&iacute;as cierra la hermosa plaza en la que se asienta. Fue construida en 1758 por el arquitecto Clemente Fern&aacute;ndez Sarela con una funci&oacute;n puramente teatral: la de cerrar la plaza. Est&aacute; considerada como una de las intervenciones de escenograf&iacute;a barroca gallega m&aacute;s importantes y conocidas.</p> <p>Restaurada en 2011 por iniciativa del Consorcio de Santiago, la Casa do  Cabido ha pasado a formar parte del n&uacute;cleo muse&iacute;stico de la ciudad  hist&oacute;rica, junto con el Museo das Peregrinaci&oacute;ns y el de Santiago. La  exposici&oacute;n inaugural, 'Compostela Dicitur', ofrec&iacute;a un recorrido por la  Compostela de 1211, con motivo de la celebraci&oacute;n del 800 aniversario de  la consagraci&oacute;n de la Catedral.</p>",19,<p>Mediados s. XVIII. Barroco.&nbsp;Esta fachada ornamental de poco m&aacute;s de tres metros de fondo y levantada frente a la Puerta de Plater&iacute;as cierra la hermosa plaza en la que se asienta. Fue construida en 1758 por el arquitecto Clemente Fern&aacute;ndez Sarela con una funci&oacute;n puramente teatral: la de cerrar la plaza. Est&aacute; considerada como una de las intervenciones de escenograf&iacute;a barroca gallega m&aacute;s importantes y conocidas.</p>,061218SantiagoCasadelCabildoplumayacuarelaemail.jpg,España,-8.54433629,2020-10-26T13:35:00,0,108,Santiago de Compostela,Praza das Praterías,4762494.11824407,2010-03-04T12:07:00,42.87987397,4762494.11824407,http://www.santiagoturismo.com/monumentos/casa-do-cabido-2
6,6,15704,Monasterio e Iglesia de San Martiño Pinario,mosteiro-e-igrexa-de-san-martino-pinario,2010-05-31T10:17:00,"<p>En la Plaza de la Inmaculada se levanta este monasterio, fundado por un grupo de benedictinos que poco despu&eacute;s del descubrimiento de los restos del Ap&oacute;stol se establecieron en el lugar llamado Pignario, pr&oacute;ximo a la capilla de la Corticela (hoy integrada dentro de la Catedral), donde celebraban sus oficios. El mayor desarrollo comienza cuando en 1494 pasa a depender de la congregaci&oacute;n benedictina de Valladolid. A partir de aqu&iacute; alcanzar&aacute;n la riqueza que les va a permitir sufragar las imponentes obras de la iglesia, que constituye, junto a la Catedral, el m&aacute;s valioso conjunto del barroco gallego. Durante 1991, tras ser acondicionadas las dependencias mon&aacute;sticas y limpiados y restaurados los valiosos retablos, acogi&oacute; la exposici&oacute;n antol&oacute;gica del arte gallego 'Galicia no tempo'. En el a&ntilde;o 2000, en el que Santiago celebr&oacute; la capitalidad cultural, acogi&oacute; la exposici&oacute;n 'As Faces de Deus'. <br /><br /><strong>IGLESIA</strong><br />Los arquitectos que trabajaron en la iglesia fueron el portugu&eacute;s Mateo L&oacute;pez, que se encarg&oacute; de las primeras trazas; el granadino Bartolom&eacute; Fern&aacute;ndez Lechuga, que construye la magn&iacute;fica c&uacute;pula nervada y organiza el espacio interior consiguiendo una gran majestuosidad; el salmantino Pe&ntilde;a y Toro, que se encarga de las obras de contenci&oacute;n pues hab&iacute;an cedido los muros, y finalmente, fray Tom&aacute;s Alonso y fray Gabriel Casas, con distintas aportaciones en la fachada del monasterio, claustros, campanario y dependencias monacales. Sobre la puerta se despliega una vistosa fachada plateresca. Presiden en la parte central, entre la puerta y el &oacute;culo, la Virgen, San Bieito y San Bernardo, mientras que en el front&oacute;n que corona la portada est&aacute; San Marti&ntilde;o repartiendo su capa con un pobre. Las torres se levantan s&oacute;lo hasta la altura de la fachada, debido a la oposici&oacute;n del cabildo catedralicio, temeroso de que la bas&iacute;lica perdiese visibilidad. Para vencer el desnivel del terreno, el benedictino Pl&aacute;cido Cami&ntilde;a construy&oacute; la hermosa escalera de acceso a la puerta, sin duda inspirada en la que da acceso a la Catedral desde la fachada del Obradoiro. El templo posee planta de cruz latina con tres naves en el brazo principal y una en el transversal, recorridas por una tribuna. Se emplea la b&oacute;veda de ca&ntilde;&oacute;n en la que se enmascaran los nervios a modo de falsos casetones. Varias capillas comunicadas entre s&iacute;, se abren a cada lado del brazo longitudinal. En el interior llama poderosamente la atenci&oacute;n el fastuoso retablo mayor de estilo barroco dise&ntilde;ado por F. de Casas y Novoa y ejecutado por Romay. Cerrando los frontispicios del crucero encontramos el Retablo de San Bieito en el norte y el Retablo de la Virgen Inglesa en el sur. Adem&aacute;s de los anteriores, tambi&eacute;n podemos contemplar el Retablo de la capilla del Socorro, el de Santa Escol&aacute;stica, el del Cristo de la Paciencia y el de Santa Xertrude. Es preciso destacar as&iacute; mismo, la siller&iacute;a del coro, realizada en nogal por Mateo de Prado, y que es reconocida como la m&aacute;s importante de las realizadas en Galicia y una de las principales a nivel peninsular.<br /><br /><strong>MONASTERIO</strong><br />El monasterio es de gran sencillez y frialdad de l&iacute;neas, s&oacute;lo interrumpidas por la fachada, a la que se accede por una gran escalinata. La fachada se divide en tres partes con un eje central flanqueado por dos grandes lienzos de cuatro pisos. La torre de cinco cuerpos contribuye a romper la monoton&iacute;a de la fachada. La portada enmarcada por severas columnas d&oacute;ricas, acoge a San Bieito, rematando con la estructura a&ntilde;adida por Fernando de Casas en la que est&aacute; el escudo de Espa&ntilde;a entre vieiras y la figura de San Marti&ntilde;o de Tours. Dentro del monasterio se encuentran el claustro de las oficinas, el m&aacute;s primitivo y el claustro procesional.</p> <p><strong>&nbsp;</strong></p>",16,"<p>En la Plaza de la Inmaculada se levanta este monasterio, fundado por un grupo de benedictinos que poco despu&eacute;s del descubrimiento de los restos del Ap&oacute;stol se establecieron en el lugar llamado Pignario, pr&oacute;ximo a la capilla de la Corticela (hoy integrada dentro de la Catedral), donde celebraban sus oficios. El mayor desarrollo comienza cuando en 1494 pasa a depender de la congregaci&oacute;n benedictina de Valladolid. A partir de aqu&iacute; alcanzar&aacute;n la riqueza que les va a permitir sufragar las imponentes obras de la iglesia, que constituye, junto a la Catedral, el m&aacute;s valioso conjunto del barroco gallego.</p>",2020/08/SantiagoSanMartnPinarioplumayacuarelaemail.jpg,España,-8.54417118,2020-08-17T13:39:00,0,127,Santiago de Compostela,Praza da Inmaculada 3,4762674.20570359,2010-03-04T12:10:00,42.88150312,4762674.20570359,http://www.santiagoturismo.com/monumentos/mosteiro-e-igrexa-de-san-martino-pinario
7,7,15704,Monasterio e Iglesia de San Paio de Antealtares,mosteiro-e-igrexa-de-san-paio-de-antealtares-11,2010-03-04T12:42:00,"<p>Ss. IX-XVIII. Actualmente Barroco. <br /><br />Fue fundado en el siglo IX por Alfonso II con doce monjes benedictinos, para que cuidaran y dieran culto al recientemente aparecido sepulcro del Ap&oacute;stol Santiago. La actual construcci&oacute;n pertenece casi en su totalidad a los siglos XVII y XVIII, ya que la primitiva fue derrumbada. <br /><br />Uno de los muros laterales cierra un flanco de la Plaza de la Quintana con absoluta sobriedad, a base de muros lisos sin decoraci&oacute;n. En el centro de este muro, una l&aacute;pida recuerda la formaci&oacute;n del Batall&oacute;n Literario organizado por los universitarios compostelanos para defensa de Galicia contra las Tropas de Napole&oacute;n. <br /><br />En la fachada opuesta a la Plaza de la Quintana, encontramos la porter&iacute;a y en el &aacute;ngulo la llamada puerta de los carros. <br /><br />Tras la marcha de los monjes benedictinos en 1499, el monasterio fue ocupado por monjas de clausura. El convento se dedic&oacute; a San Paio, que siendo ni&ntilde;o fuera martirizado en C&oacute;rdoba. Su imagen degollada preside la fachada del templo. <br /><br />La iglesia, de planta de cruz griega fue dise&ntilde;ada por frei Gabriel de Casas. Destaca en su interior el retablo del altar mayor. <br /><br />A trav&eacute;s de la iglesia podemos acceder al Museo de Arte Sacra, en el que se conserva el primitivo altar que acompa&ntilde;aba al sarc&oacute;fago apost&oacute;lico y que fue regalado por Xelm&iacute;rez a este convento, substituy&eacute;ndolo por otro m&aacute;s grandioso en el interior de la catedral.</p>",19,"<p>Ss. IX-XVIII. Actualmente Barroco.&nbsp;Fue fundado en el siglo IX por Alfonso II con doce monjes benedictinos, para que cuidaran y dieran culto al recientemente aparecido sepulcro del Ap&oacute;stol Santiago. La actual construcci&oacute;n pertenece casi en su totalidad a los siglos XVII y XVIII, ya que la primitiva fue derrumbada.&nbsp;</p>",070101SantiagoSanPaioplumayacuarelaemail.jpg,España,-8.54358723,2020-06-29T10:44:00,0,128,Santiago de Compostela,Praza da Quintana de Vivos,4762589.34526853,2010-03-04T12:10:00,42.88076758,4762589.34526853,http://www.santiagoturismo.com/monumentos/mosteiro-e-igrexa-de-san-paio-de-antealtares-11
8,8,15704,Convento de Santa Clara,convento-de-santa-clara,2010-03-04T12:42:00,"<p>S. XVII. Barroco. <br /><br />Su origen conventual se remonta al siglo XIII, aunque su factura actual es fruto de la reconstrucci&oacute;n barroca, finalizada en el siglo XVII por Pedro Ar&eacute;n. <br /><br />Cuenta con una peculiar fachada-tel&oacute;n, claro ejemplo del barroco compostelano, trazada por Sim&oacute;n Rodr&iacute;guez en el siglo XVIII.&nbsp; Al fondo de un peque&ntilde;o jard&iacute;n, se esconde la verdadera fachada, m&aacute;s sencilla, que da acceso al templo. <br /><br />En su interior se conservan un retablo de Domingo de Andrade de 1700 y varios altares churriguerescos. <br /><br /></p>",17, ,070107SantiagoSantaClaraplumayacuarelaemail.jpg,España,-8.54107090,2020-06-29T14:28:00,0,142,Santiago de Compostela,Rúa de San Roque,4763044.81612780,2010-03-04T12:07:00,42.88498988,4763044.81612780,http://www.santiagoturismo.com/monumentos/convento-de-santa-clara
9,9,15702,Colegiata Santa María a Real do Sar,colexiata-santa-maria-a-real-do-sar-6,2010-03-04T12:42:00,"<p>S. XII. Rom&aacute;nica.<br /><br />Construida en el siglo XII a las orillas del r&iacute;o Sar es, junto con la Catedral, la iglesia que conserva mayor parte de su primitiva f&aacute;brica rom&aacute;nica. <br /><br />En el exterior llaman la atenci&oacute;n los robustos arbotantes construidos entre los siglos XVII y XVIII para proteger los muros septentrionales y evitar su derrumbe: bien fuese por un error t&eacute;cnico en la construcci&oacute;n, por la atrevida elevaci&oacute;n de las naves laterales, por el corrimiento del inestable terreno sobre el que se asienta, que a menudo es inundado por el r&iacute;o, o por voluntad de quienes trabajaron en su construcci&oacute;n, los muros y las columnas interiores est&aacute;n visiblemente inclinados, lo que le confiere un singular atractivo y oblig&oacute; a rehacer la b&oacute;veda de ca&ntilde;&oacute;n en el siglo XVI. <br /><br />El interior, de hermosas proporciones, impresiona a todo aquel que lo visita por la inclinaci&oacute;n de las columnas hacia las naves laterales, dando sensaci&oacute;n de inestabilidad. La pila bautismal, a la derecha de la puerta principal, es una interesante pieza arqueol&oacute;gica del siglo XII. <br /><br />A trav&eacute;s de la sacrist&iacute;a puede accederse al claustro, el &uacute;nico que posee la ciudad en estilo rom&aacute;nico. S&oacute;lo se conserva una de las alas, el resto pertenece a los siglos XVII y XVIII. Dentro se expone una <a href=""http://www.santiagoturismo.com/museos/museo-da-colexiata-do-sar"" target=""_blank"">buena colecci&oacute;n de piezas arqueol&oacute;gicas y lit&uacute;rgicas</a>.<br /><br /></p>",18,"<p>S. XII. Rom&aacute;nica.&nbsp;Construida en el siglo XII a las orillas del r&iacute;o Sar es, junto con la Catedral, la iglesia que conserva mayor parte de su primitiva f&aacute;brica rom&aacute;nica.&nbsp;</p>",070102SantiagoSantaMdeSarplumayacuarelaemail.jpg,España,-8.53701858,2020-01-10T11:32:00,0,141,Santiago de Compostela,Rúa de Sar,4761603.28404188,2010-03-04T12:10:00,42.87221001,4761603.28404188,http://www.santiagoturismo.com/monumentos/colexiata-santa-maria-a-real-do-sar-6
10,10,15702,Colegio de Fonseca,colexio-de-fonseca-3,2010-04-15T16:17:00,"<p>S. XVI. Renacentista.<br /><br />Este colegio fue mandado construir por el arzobispo Alonso de Fonseca adaptando la casa donde &eacute;l hab&iacute;a nacido y que pertenec&iacute;a a su influyente familia, para ejercer la funci&oacute;n pedag&oacute;gica. Comenz&oacute; a funcionar en el a&ntilde;o 1544 y en &eacute;l tendr&aacute; sede la Universidad Compostelana creada con el patrocinio de su familia a principios de siglo. La fachada es de estilo renacentista. Consta de dos cuerpos con estatuas g&oacute;ticas en los intercolumnios y en los nichos del friso. En el centro de la fachada, en el medio del friso que separa los dos cuerpos con los que cuenta el edificio, destaca el escudo con las cinco estrellas de los Fonseca, rodeado de las im&aacute;genes que representan a los Doctores de la Iglesia. En el interior podemos visitar el patio circundado por una leyenda epigr&aacute;fica, obra de Gil de Honta&ntilde;&oacute;n. A la derecha de la puerta est&aacute; la entrada a la capilla g&oacute;tica y a la izquierda la entrada al Sal&oacute;n Artesonado. En la actualidad acoge la Biblioteca Xeral da Universidade.</p>",19,"<p>S. XVI. Renacentista. Este colegio fue mandado construir por el arzobispo Alonso de Fonseca adaptando la casa donde &eacute;l hab&iacute;a nacido y que pertenec&iacute;a a su influyente familia, para ejercer la funci&oacute;n pedag&oacute;gica. Comenz&oacute; a funcionar en el a&ntilde;o 1544 y en &eacute;l tendr&aacute; sede la Universidad Compostelana creada con el patrocinio de su familia a principios de siglo.&nbsp;</p>",061212SantiagoColegioFonsecaplumayacuarelaemail.jpg,España,-8.54541053,2020-07-21T16:40:00,0,140,Santiago de Compostela,Rúa do Franco 3,4762447.09484368,2010-03-04T12:10:00,42.87939848,4762447.09484368,http://www.santiagoturismo.com/monumentos/colexio-de-fonseca-3
